web-scraper-order,web-scraper-start-url,Numéros,Nombre de sorties,Pourcentage de sorties,Dernière sortie
"1709129600-1","https://www.fdj.fr/jeux-de-tirage/loto/statistiques","1","63","9,00","03/01/24"
"1709129600-2","https://www.fdj.fr/jeux-de-tirage/loto/statistiques","2","64","9,14","17/02/24"
"1709129600-3","https://www.fdj.fr/jeux-de-tirage/loto/statistiques","3","70","10,00","14/02/24"
"1709129600-4","https://www.fdj.fr/jeux-de-tirage/loto/statistiques","4","66","9,43","03/02/24"
"1709129600-5","https://www.fdj.fr/jeux-de-tirage/loto/statistiques","5","72","10,29","12/02/24"
"1709129600-6","https://www.fdj.fr/jeux-de-tirage/loto/statistiques","6","76","10,86","07/02/24"
"1709129600-7","https://www.fdj.fr/jeux-de-tirage/loto/statistiques","7","82","11,71","26/02/24"
"1709129600-8","https://www.fdj.fr/jeux-de-tirage/loto/statistiques","8","71","10,14","26/02/24"
"1709129600-9","https://www.fdj.fr/jeux-de-tirage/loto/statistiques","9","79","11,29","21/02/24"
"1709129600-10","https://www.fdj.fr/jeux-de-tirage/loto/statistiques","10","70","10,00","31/12/23"
"1709129600-11","https://www.fdj.fr/jeux-de-tirage/loto/statistiques","11","69","9,86","15/01/24"
"1709129600-12","https://www.fdj.fr/jeux-de-tirage/loto/statistiques","12","79","11,29","03/02/24"
"1709129600-13","https://www.fdj.fr/jeux-de-tirage/loto/statistiques","13","73","10,43","17/02/24"
"1709129600-14","https://www.fdj.fr/jeux-de-tirage/loto/statistiques","14","64","9,14","24/02/24"
"1709129600-15","https://www.fdj.fr/jeux-de-tirage/loto/statistiques","15","86","12,29","14/02/24"
"1709129600-16","https://www.fdj.fr/jeux-de-tirage/loto/statistiques","16","64","9,14","19/02/24"
"1709129600-17","https://www.fdj.fr/jeux-de-tirage/loto/statistiques","17","72","10,29","22/11/23"
"1709129600-18","https://www.fdj.fr/jeux-de-tirage/loto/statistiques","18","56","8,00","13/12/23"
"1709129600-19","https://www.fdj.fr/jeux-de-tirage/loto/statistiques","19","70","10,00","17/02/24"
"1709129600-20","https://www.fdj.fr/jeux-de-tirage/loto/statistiques","20","62","8,86","26/02/24"
"1709129600-21","https://www.fdj.fr/jeux-de-tirage/loto/statistiques","21","65","9,29","13/01/24"
"1709129600-22","https://www.fdj.fr/jeux-de-tirage/loto/statistiques","22","83","11,86","24/02/24"
"1709129600-23","https://www.fdj.fr/jeux-de-tirage/loto/statistiques","23","69","9,86","19/02/24"
"1709129600-24","https://www.fdj.fr/jeux-de-tirage/loto/statistiques","24","74","10,57","07/02/24"
"1709129600-25","https://www.fdj.fr/jeux-de-tirage/loto/statistiques","25","66","9,43","24/02/24"
"1709129600-26","https://www.fdj.fr/jeux-de-tirage/loto/statistiques","26","81","11,57","29/01/24"
"1709129600-27","https://www.fdj.fr/jeux-de-tirage/loto/statistiques","27","70","10,00","29/01/24"
"1709129600-28","https://www.fdj.fr/jeux-de-tirage/loto/statistiques","28","74","10,57","14/02/24"
"1709129600-29","https://www.fdj.fr/jeux-de-tirage/loto/statistiques","29","69","9,86","22/01/24"
"1709129600-30","https://www.fdj.fr/jeux-de-tirage/loto/statistiques","30","77","11,00","26/02/24"
"1709129600-31","https://www.fdj.fr/jeux-de-tirage/loto/statistiques","31","82","11,71","31/01/24"
"1709129600-32","https://www.fdj.fr/jeux-de-tirage/loto/statistiques","32","70","10,00","24/01/24"
"1709129600-33","https://www.fdj.fr/jeux-de-tirage/loto/statistiques","33","64","9,14","21/02/24"
"1709129600-34","https://www.fdj.fr/jeux-de-tirage/loto/statistiques","34","71","10,14","10/02/24"
"1709129600-35","https://www.fdj.fr/jeux-de-tirage/loto/statistiques","35","83","11,86","19/02/24"
"1709129600-36","https://www.fdj.fr/jeux-de-tirage/loto/statistiques","36","64","9,14","17/02/24"
"1709129600-37","https://www.fdj.fr/jeux-de-tirage/loto/statistiques","37","68","9,71","24/02/24"
"1709129600-38","https://www.fdj.fr/jeux-de-tirage/loto/statistiques","38","77","11,00","10/01/24"
"1709129600-39","https://www.fdj.fr/jeux-de-tirage/loto/statistiques","39","64","9,14","17/01/24"
"1709129600-40","https://www.fdj.fr/jeux-de-tirage/loto/statistiques","40","70","10,00","12/02/24"
"1709129600-41","https://www.fdj.fr/jeux-de-tirage/loto/statistiques","41","75","10,71","20/01/24"
"1709129600-42","https://www.fdj.fr/jeux-de-tirage/loto/statistiques","42","73","10,43","21/02/24"
"1709129600-43","https://www.fdj.fr/jeux-de-tirage/loto/statistiques","43","60","8,57","12/02/24"
"1709129600-44","https://www.fdj.fr/jeux-de-tirage/loto/statistiques","44","80","11,43","10/02/24"
"1709129600-45","https://www.fdj.fr/jeux-de-tirage/loto/statistiques","45","69","9,86","26/02/24"
"1709129600-46","https://www.fdj.fr/jeux-de-tirage/loto/statistiques","46","76","10,86","14/02/24"
"1709129600-47","https://www.fdj.fr/jeux-de-tirage/loto/statistiques","47","71","10,14","27/01/24"
"1709129600-48","https://www.fdj.fr/jeux-de-tirage/loto/statistiques","48","80","11,43","13/01/24"
"1709129600-49","https://www.fdj.fr/jeux-de-tirage/loto/statistiques","49","67","9,57","08/01/24"
"1709129600-50","https://www.fdj.fr/jeux-de-tirage/loto/statistiques","1","67","9,57","12/02/24"
"1709129600-51","https://www.fdj.fr/jeux-de-tirage/loto/statistiques","2","73","10,43","19/02/24"
"1709129600-52","https://www.fdj.fr/jeux-de-tirage/loto/statistiques","3","62","8,86","24/02/24"
"1709129600-53","https://www.fdj.fr/jeux-de-tirage/loto/statistiques","4","72","10,29","07/02/24"
"1709129600-54","https://www.fdj.fr/jeux-de-tirage/loto/statistiques","5","64","9,14","27/01/24"
"1709129600-55","https://www.fdj.fr/jeux-de-tirage/loto/statistiques","6","64","9,14","13/01/24"
"1709129600-56","https://www.fdj.fr/jeux-de-tirage/loto/statistiques","7","66","9,43","06/12/23"
"1709129600-57","https://www.fdj.fr/jeux-de-tirage/loto/statistiques","8","61","8,71","10/02/24"
"1709129600-58","https://www.fdj.fr/jeux-de-tirage/loto/statistiques","9","84","12,00","22/01/24"
"1709129600-59","https://www.fdj.fr/jeux-de-tirage/loto/statistiques","10","87","12,43","26/02/24"
"1709129600-60","https://www.fdj.fr/jeux-de-tirage/loto/statistiques","1","71","10,14","24/02/24"
"1709129600-61","https://www.fdj.fr/jeux-de-tirage/loto/statistiques","2","54","7,71","22/01/24"
"1709129600-62","https://www.fdj.fr/jeux-de-tirage/loto/statistiques","3","75","10,71","15/01/24"
"1709129600-63","https://www.fdj.fr/jeux-de-tirage/loto/statistiques","4","71","10,14","06/11/23"
"1709129600-64","https://www.fdj.fr/jeux-de-tirage/loto/statistiques","5","74","10,57","17/02/24"
"1709129600-65","https://www.fdj.fr/jeux-de-tirage/loto/statistiques","6","67","9,57","05/02/24"
"1709129600-66","https://www.fdj.fr/jeux-de-tirage/loto/statistiques","7","72","10,29","26/02/24"
"1709129600-67","https://www.fdj.fr/jeux-de-tirage/loto/statistiques","8","68","9,71","21/02/24"
"1709129600-68","https://www.fdj.fr/jeux-de-tirage/loto/statistiques","9","70","10,00","12/02/24"
"1709129600-69","https://www.fdj.fr/jeux-de-tirage/loto/statistiques","10","62","8,86","31/01/24"
"1709129600-70","https://www.fdj.fr/jeux-de-tirage/loto/statistiques","11","72","10,29","12/02/24"
"1709129600-71","https://www.fdj.fr/jeux-de-tirage/loto/statistiques","12","69","9,86","24/02/24"
"1709129600-72","https://www.fdj.fr/jeux-de-tirage/loto/statistiques","13","80","11,43","26/02/24"
"1709129600-73","https://www.fdj.fr/jeux-de-tirage/loto/statistiques","14","64","9,14","18/11/23"
"1709129600-74","https://www.fdj.fr/jeux-de-tirage/loto/statistiques","15","60","8,57","19/02/24"
"1709129600-75","https://www.fdj.fr/jeux-de-tirage/loto/statistiques","16","78","11,14","26/02/24"
"1709129600-76","https://www.fdj.fr/jeux-de-tirage/loto/statistiques","17","58","8,29","30/12/23"
"1709129600-77","https://www.fdj.fr/jeux-de-tirage/loto/statistiques","18","65","9,29","21/02/24"
"1709129600-78","https://www.fdj.fr/jeux-de-tirage/loto/statistiques","19","85","12,14","17/02/24"
"1709129600-79","https://www.fdj.fr/jeux-de-tirage/loto/statistiques","20","69","9,86","07/02/24"
"1709129600-80","https://www.fdj.fr/jeux-de-tirage/loto/statistiques","21","49","7,00","22/01/24"
"1709129600-81","https://www.fdj.fr/jeux-de-tirage/loto/statistiques","22","65","9,29","03/01/24"
"1709129600-82","https://www.fdj.fr/jeux-de-tirage/loto/statistiques","23","70","10,00","07/02/24"
"1709129600-83","https://www.fdj.fr/jeux-de-tirage/loto/statistiques","24","88","12,57","03/02/24"
"1709129600-84","https://www.fdj.fr/jeux-de-tirage/loto/statistiques","25","70","10,00","26/02/24"
"1709129600-85","https://www.fdj.fr/jeux-de-tirage/loto/statistiques","26","54","7,71","27/12/23"
"1709129600-86","https://www.fdj.fr/jeux-de-tirage/loto/statistiques","27","66","9,43","21/02/24"
"1709129600-87","https://www.fdj.fr/jeux-de-tirage/loto/statistiques","28","74","10,57","29/01/24"
"1709129600-88","https://www.fdj.fr/jeux-de-tirage/loto/statistiques","29","76","10,86","07/02/24"
"1709129600-89","https://www.fdj.fr/jeux-de-tirage/loto/statistiques","30","73","10,43","21/02/24"
"1709129600-90","https://www.fdj.fr/jeux-de-tirage/loto/statistiques","31","62","8,86","26/02/24"
"1709129600-91","https://www.fdj.fr/jeux-de-tirage/loto/statistiques","32","72","10,29","14/02/24"
